,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
skill_home[2868],-0.030241,0.465845,1.00604,-1.57796,-0.0995114,1.66634,4.66391,0.00030512,1.79394
skill_home[2869],-0.0670687,0.465518,0.996429,-1.59409,-0.137157,1.60869,4.58162,0.000299737,1.82919
skill_home[2870],-0.145834,0.467085,1.01408,-1.71162,-0.209006,1.56527,4.7136,0.000308371,1.77051
skill_home[2871],-0.0306322,0.466404,1.00695,-1.58085,-0.102884,1.67315,4.6611,0.000304937,1.79605
skill_home[2872],0.153312,0.467123,1.01525,-1.41024,0.0848605,1.86871,4.72371,0.000309032,1.76621
skill_home[2873],0.0435282,0.46557,1.02022,-1.53634,-0.0134888,1.75743,4.80199,0.000314153,1.73579
skill_home[2874],-0.337402,0.466068,1.02224,-1.91812,-0.400043,1.38552,4.81074,0.000314726,1.73099
skill_home[2875],-0.642211,0.465676,1.00667,-2.19175,-0.71005,1.05195,4.67312,0.000305723,1.79059
skill_home[2876],-0.263143,0.465424,1.00507,-1.8205,-0.332605,1.43173,4.66329,0.00030508,1.79492
skill_home[2877],0.152332,0.467547,1.01753,-1.41758,0.0847372,1.86479,4.73633,0.000309858,1.75998
skill_home[2878],-0.145077,0.46691,1.04006,-1.76261,-0.20744,1.60459,4.96196,0.000324619,1.67987
skill_home[2879],-0.340587,0.466437,1.02485,-1.93604,-0.394487,1.37875,4.8276,0.000315829,1.7292
skill_home[2880],0.223008,0.466606,1.01255,-1.33398,0.159105,1.92665,4.70903,0.000308072,1.77536
skill_home[2881],0.218932,0.466327,1.01251,-1.34404,0.154017,1.92175,4.71432,0.000308418,1.77131
skill_home[2882],-0.0320623,0.465454,1.00431,-1.57239,-0.0952582,1.65394,4.65565,0.00030458,1.796
skill_home[2883],0.148532,0.466536,1.01536,-1.40685,0.0775366,1.85983,4.73667,0.00030988,1.76655
skill_home[2884],0.148204,0.465827,1.01665,-1.4238,0.0808299,1.8521,4.76317,0.000311614,1.75289
skill_home[2885],0.0494319,0.465763,1.00297,-1.49458,-0.0196177,1.73842,4.63709,0.000303365,1.80717
skill_home[2886],0.272148,0.466542,1.0096,-1.28533,0.208762,1.9641,4.68297,0.000306367,1.78874
skill_home[2887],-0.0311025,0.464604,1.00288,-1.56995,-0.104641,1.66327,4.65946,0.000304829,1.79178
skill_home[2888],-0.146442,0.464714,1.01063,-1.70317,-0.215325,1.54757,4.72944,0.000309408,1.76371
skill_home[2889],-0.445369,0.466056,1.01613,-2.02111,-0.507282,1.25611,4.75357,0.000310986,1.75621
skill_home[2890],0.0451184,0.467381,1.02583,-1.52942,-0.0222934,1.77307,4.81736,0.000315159,1.72852
skill_home[2891],-0.148674,0.466601,1.0408,-1.75754,-0.20674,1.60243,4.9756,0.000325512,1.67526
skill_home[2892],-0.0319128,0.465431,1.00562,-1.58477,-0.100898,1.65618,4.66831,0.000305408,1.79167
skill_home[2893],-0.336555,0.465808,1.02214,-1.91986,-0.399327,1.38224,4.81509,0.000315011,1.73064
skill_home[2894],-0.262516,0.466463,1.00638,-1.81361,-0.332131,1.43377,4.65467,0.000304516,1.79841
skill_home[2895],0.19181,0.465929,0.997997,-1.34118,0.121497,1.87241,4.58796,0.000300152,1.83039
skill_home[2896],-0.338139,0.466432,1.0238,-1.91481,-0.399406,1.39068,4.81786,0.000315192,1.73045
skill_home[2897],0.150371,0.465806,1.01633,-1.42462,0.0860876,1.86179,4.76059,0.000311445,1.75076
skill_home[2898],0.154027,0.466251,0.999911,-1.37847,0.0780838,1.82998,4.59921,0.000300887,1.82206
skill_home[2899],-0.0320287,0.464543,1.00292,-1.57587,-0.100457,1.65103,4.66099,0.000304929,1.79423
skill_home[2900],-0.339094,0.466067,1.02466,-1.92395,-0.40419,1.37652,4.8335,0.000316215,1.72555
skill_home[2901],0.152384,0.467465,1.01901,-1.41837,0.0900418,1.86762,4.75179,0.00031087,1.75503
skill_home[2902],0.0434624,0.465779,1.02447,-1.53654,-0.0175949,1.7722,4.83773,0.000316492,1.72308
