,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
skill_home[135],-0.568746,0.465441,1.0074,-2.12358,-0.63224,1.12959,4.68464,0.000306477,1.78097
skill_home[136],-0.444567,0.466985,1.01919,-2.02,-0.514076,1.26921,4.76325,0.00031162,1.75253
skill_home[137],-0.0324633,0.464456,1.00389,-1.57349,-0.103053,1.65916,4.67183,0.000305639,1.79027
skill_home[138],-0.26258,0.465872,1.00469,-1.80919,-0.328559,1.42763,4.65085,0.000304266,1.79747
skill_home[139],0.15057,0.465482,1.0136,-1.41262,0.0813575,1.85618,4.74159,0.000310202,1.75679
skill_home[140],-0.146538,0.466439,1.04163,-1.75882,-0.205125,1.60168,4.98701,0.000326258,1.67224
skill_home[141],0.22156,0.466741,1.01161,-1.33091,0.151063,1.92071,4.69758,0.000307323,1.77678
skill_home[142],-0.44596,0.465825,1.01581,-2.02312,-0.511135,1.2619,4.75527,0.000311097,1.75455
skill_home[143],-0.341142,0.466153,1.00152,-1.8864,-0.411792,1.34786,4.61599,0.000301986,1.81471
skill_home[144],-0.0317282,0.465491,1.00584,-1.57539,-0.106366,1.66607,4.6691,0.00030546,1.78814
skill_home[145],-0.338188,0.466168,1.02176,-1.91791,-0.401065,1.38235,4.80415,0.000314295,1.73039
skill_home[146],0.149791,0.465345,1.01292,-1.41237,0.0860473,1.85978,4.73809,0.000309973,1.76215
skill_home[147],-0.148194,0.467713,1.04169,-1.76639,-0.210393,1.60578,4.96041,0.000324518,1.68142
skill_home[148],0.0451252,0.4673,1.02597,-1.53986,-0.0188825,1.77174,4.82037,0.000315356,1.72976
skill_home[149],-0.446768,0.466269,1.01562,-2.01407,-0.513596,1.26282,4.74451,0.000310393,1.75878
skill_home[150],-0.067221,0.464859,0.993929,-1.58923,-0.135533,1.61015,4.5716,0.000299081,1.83317
skill_home[151],-0.144073,0.466103,1.01357,-1.71205,-0.206804,1.5633,4.72877,0.000309363,1.77008
skill_home[152],-0.444163,0.464761,0.997796,-1.9728,-0.517497,1.24161,4.6092,0.000301541,1.8202
skill_home[153],-0.146515,0.466763,1.01405,-1.70604,-0.215922,1.56061,4.7198,0.000308776,1.76805
skill_home[154],-0.262735,0.467677,1.00779,-1.81505,-0.336166,1.43159,4.64355,0.000303788,1.79962
skill_home[155],0.273237,0.464469,1.00452,-1.27506,0.206562,1.96649,4.67743,0.000306005,1.79103
skill_home[156],-0.514274,0.465661,1.01059,-2.07037,-0.584328,1.18368,4.70984,0.000308125,1.77126
skill_home[157],0.271665,0.466339,1.01008,-1.28155,0.207315,1.97227,4.69147,0.000306923,1.78632
skill_home[158],0.0437974,0.467099,1.02485,-1.54458,-0.0280917,1.77848,4.81396,0.000314937,1.73124
skill_home[159],0.0436877,0.465721,1.02327,-1.54586,-0.010269,1.76241,4.82754,0.000315825,1.72773
skill_home[160],-0.342207,0.464696,1.00179,-1.88626,-0.412721,1.33935,4.64745,0.000304043,1.80405
skill_home[161],0.0464863,0.4653,1.00176,-1.49816,-0.0211216,1.72973,4.63514,0.000303238,1.80552
skill_home[162],-0.336908,0.467826,1.02548,-1.93095,-0.404777,1.38325,4.8049,0.000314344,1.73034
skill_home[163],-0.149003,0.468567,1.04294,-1.77396,-0.205707,1.60373,4.95426,0.000324116,1.67909
skill_home[164],0.0437399,0.467165,1.02551,-1.54311,-0.0182064,1.77544,4.8188,0.000315253,1.7307
skill_home[165],-0.338963,0.465892,1.02334,-1.93105,-0.396617,1.39236,4.82472,0.000315641,1.72699
skill_home[166],-0.030513,0.465828,1.00625,-1.57389,-0.100249,1.66341,4.66622,0.000305271,1.79553
skill_home[167],-0.33591,0.466371,1.02302,-1.92117,-0.396713,1.38999,4.81176,0.000314793,1.72972
skill_home[168],-0.340343,0.465687,1.02316,-1.92621,-0.406778,1.38347,4.82728,0.000315808,1.7272
skill_home[169],0.0459532,0.46746,1.02628,-1.54098,-0.0200965,1.77803,4.81992,0.000315326,1.72921
skill_home[170],-0.287919,0.466465,0.996521,-1.81891,-0.358712,1.39058,4.5639,0.000298577,1.84413
skill_home[171],-0.44459,0.466731,1.01865,-2.02909,-0.5051,1.25921,4.76336,0.000311626,1.75142
skill_home[172],-0.0313522,0.465677,1.00484,-1.57606,-0.0935283,1.66048,4.65612,0.00030461,1.79495
skill_home[173],-0.148454,0.46742,1.04236,-1.77022,-0.205163,1.59931,4.97303,0.000325344,1.67756
skill_home[174],-0.147637,0.467294,1.01366,-1.71176,-0.217227,1.5551,4.7055,0.000307841,1.77347
skill_home[175],0.04434,0.466754,1.02578,-1.5371,-0.0181085,1.77108,4.82982,0.000315974,1.72499
skill_home[176],-0.146201,0.464698,0.993955,-1.66997,-0.21611,1.53092,4.57501,0.000299304,1.83554
skill_home[177],-0.443917,0.465947,1.01748,-2.01605,-0.511265,1.2666,4.76847,0.000311961,1.75272
skill_home[178],-0.149433,0.464764,0.991894,-1.66455,-0.224,1.50987,4.55475,0.000297979,1.84638
skill_home[179],0.103886,0.466361,1.00116,-1.42742,0.0328226,1.78477,4.60854,0.000301498,1.81625
skill_home[180],-0.14747,0.465152,1.00058,-1.68577,-0.219429,1.53472,4.62712,0.000302714,1.80945
skill_home[181],0.350368,0.4662,1.00652,-1.2032,0.280437,2.04846,4.66124,0.000304945,1.79398
skill_home[182],-0.444835,0.465769,1.01556,-2.02168,-0.511668,1.26023,4.75414,0.000311023,1.75621
skill_home[183],0.151814,0.465768,1.01528,-1.4141,0.0840122,1.86601,4.75149,0.00031085,1.75476
skill_home[184],-0.145929,0.46786,1.04308,-1.76467,-0.208506,1.60712,4.97056,0.000325182,1.67789
skill_home[185],-0.147118,0.466029,1.01402,-1.7105,-0.21556,1.55932,4.73442,0.000309733,1.76541
skill_home[186],-0.340795,0.466072,1.00146,-1.8757,-0.413361,1.34556,4.61697,0.00030205,1.81169
skill_home[187],-0.147343,0.464885,0.999278,-1.6837,-0.223146,1.53522,4.62042,0.000302275,1.81032
skill_home[188],-0.260975,0.465736,1.00654,-1.80366,-0.329965,1.43512,4.67072,0.000305566,1.78999
skill_home[189],0.221896,0.466531,1.01287,-1.33695,0.152218,1.92745,4.71354,0.000308367,1.77152
skill_home[190],-0.145668,0.464547,0.998346,-1.67829,-0.2145,1.53996,4.61852,0.000302151,1.81579
skill_home[191],-0.146651,0.467622,1.04248,-1.756,-0.208598,1.60718,4.96987,0.000325136,1.67602
skill_home[192],-0.262146,0.466594,1.00543,-1.80136,-0.334669,1.43262,4.64332,0.000303773,1.80017
skill_home[193],-0.0294086,0.466699,1.0072,-1.58867,-0.0916159,1.67671,4.65757,0.000304706,1.79688
skill_home[194],-0.0311017,0.464691,1.00419,-1.5697,-0.0960043,1.65901,4.66985,0.000305509,1.79486
skill_home[195],-0.147187,0.46618,1.01202,-1.70926,-0.217633,1.55604,4.7127,0.000308312,1.77094
skill_home[196],0.223292,0.466936,1.01302,-1.33979,0.164707,1.93321,4.70673,0.000307922,1.77515
skill_home[197],-0.031819,0.466364,1.00592,-1.58272,-0.0960637,1.65588,4.65245,0.00030437,1.79577
skill_home[198],-0.145387,0.46506,1.00011,-1.67933,-0.214555,1.55414,4.62462,0.00030255,1.81202
skill_home[199],-0.145847,0.467827,1.03994,-1.76329,-0.206957,1.6006,4.94133,0.000323269,1.68643
skill_home[200],0.148864,0.467086,1.01808,-1.42272,0.0872074,1.85656,4.75082,0.000310806,1.75755
skill_home[201],-0.14524,0.466577,1.01122,-1.69792,-0.211,1.5575,4.69726,0.000307302,1.77616
skill_home[202],-0.146218,0.465675,1.00138,-1.67725,-0.214489,1.54856,4.62418,0.000302521,1.81112
skill_home[203],-0.147454,0.464854,1.00032,-1.68822,-0.218347,1.53258,4.6307,0.000302948,1.80837
skill_home[204],0.0437561,0.465915,1.02309,-1.54147,-0.0187898,1.76848,4.82188,0.000315455,1.72609
skill_home[205],0.149439,0.465193,1.01358,-1.41353,0.0856269,1.85862,4.74735,0.000310579,1.75789
skill_home[206],-0.145157,0.465268,0.993046,-1.66523,-0.215757,1.52675,4.55546,0.000298026,1.84501
skill_home[207],0.152235,0.466369,1.0173,-1.41631,0.0926791,1.86369,4.75818,0.000311287,1.75563
skill_home[208],-0.143289,0.467514,1.04162,-1.76666,-0.202843,1.60523,4.96401,0.000324753,1.67776
skill_home[209],0.22145,0.466632,1.01203,-1.33663,0.152191,1.92364,4.7037,0.000307723,1.7799
skill_home[210],0.151266,0.46737,1.01586,-1.41298,0.0885716,1.86163,4.72435,0.000309075,1.76701
skill_home[211],-0.261687,0.467349,1.00915,-1.81477,-0.329329,1.44234,4.66259,0.000305034,1.79019
skill_home[212],-0.148505,0.465655,1.01125,-1.70364,-0.215238,1.54483,4.71613,0.000308537,1.76987
skill_home[213],-0.262459,0.466148,1.00404,-1.80945,-0.328278,1.42452,4.63933,0.000303512,1.80386
skill_home[214],-0.14484,0.467574,1.04283,-1.76381,-0.205577,1.61284,4.97421,0.000325421,1.67683
skill_home[215],0.150548,0.466922,1.01747,-1.40846,0.0827335,1.86536,4.74849,0.000310654,1.75771
skill_home[216],-0.148846,0.468065,1.0427,-1.77394,-0.207333,1.59847,4.96256,0.000324659,1.67765
skill_home[217],0.0468062,0.464369,1.00031,-1.49503,-0.0186462,1.72782,4.64027,0.000303574,1.80789
skill_home[218],-0.146749,0.464815,1.00968,-1.69829,-0.215256,1.55226,4.71857,0.000308696,1.7695
skill_home[219],0.0441205,0.466798,1.02546,-1.54741,-0.0213872,1.7844,4.82589,0.000315717,1.72687
skill_home[220],-0.340496,0.466809,1.02446,-1.9259,-0.400685,1.38771,4.81625,0.000315087,1.72758
skill_home[221],0.0490123,0.466721,1.00384,-1.49924,-0.026819,1.7461,4.62613,0.000302649,1.80739
skill_home[222],0.0433824,0.466256,1.02417,-1.54739,-0.0256008,1.7715,4.82499,0.000315659,1.72929
skill_home[223],-0.0319173,0.466161,1.00459,-1.57942,-0.100632,1.65553,4.6441,0.000303824,1.8021
skill_home[224],-0.147376,0.466965,1.0118,-1.70627,-0.211839,1.55772,4.6948,0.000307141,1.77598
skill_home[225],0.312705,0.464757,1.00478,-1.23362,0.24636,2.00628,4.67403,0.000305783,1.79478
skill_home[226],0.151744,0.467031,1.00081,-1.38677,0.0788153,1.83877,4.59213,0.000300424,1.82738
skill_home[227],-0.147412,0.466432,1.01232,-1.70789,-0.216402,1.54967,4.7104,0.000308162,1.77276
skill_home[228],-0.340149,0.464954,1.00152,-1.88439,-0.406609,1.34091,4.63984,0.000303545,1.80408
skill_home[229],0.0467034,0.468246,1.02792,-1.53843,-0.0188686,1.77339,4.8192,0.00031528,1.72504
skill_home[230],0.151018,0.46539,1.01496,-1.41527,0.089606,1.86145,4.75626,0.000311162,1.75475
skill_home[231],-0.337713,0.465108,1.02296,-1.92266,-0.400573,1.37228,4.83733,0.000316466,1.72006
skill_home[232],0.0462419,0.467383,1.02583,-1.53621,-0.0180073,1.77112,4.81735,0.000315159,1.7277
skill_home[233],0.154559,0.468144,1.0188,-1.4151,0.0979558,1.86555,4.73608,0.000309842,1.76317
skill_home[234],-0.031209,0.46462,1.00292,-1.57551,-0.098322,1.6563,4.65947,0.00030483,1.79437
skill_home[235],-0.146918,0.46526,1.01048,-1.70875,-0.215165,1.55678,4.717,0.000308594,1.77013
skill_home[236],-0.146177,0.466742,1.01393,-1.69471,-0.219169,1.5672,4.71909,0.00030873,1.77155
skill_home[237],0.315399,0.465103,1.00572,-1.23545,0.248442,2.01536,4.67579,0.000305897,1.78664
skill_home[238],0.22128,0.465806,1.01105,-1.34414,0.15646,1.92187,4.71125,0.000308217,1.76941
skill_home[239],-0.146373,0.464125,1.00981,-1.69868,-0.214644,1.55224,4.7338,0.000309692,1.7667
skill_home[240],-0.398363,0.465678,0.99949,-1.93195,-0.468947,1.285,4.60665,0.000301374,1.81808
skill_home[241],-0.147718,0.46572,0.998742,-1.67599,-0.220259,1.54129,4.59893,0.000300869,1.82092
skill_home[242],0.219158,0.464825,1.00984,-1.33788,0.156461,1.91843,4.71981,0.000308777,1.77113
skill_home[243],0.0457583,0.466245,1.02301,-1.53819,-0.0176072,1.76521,4.81426,0.000314957,1.72849
skill_home[244],-0.337849,0.466824,1.02406,-1.92864,-0.398028,1.37738,4.81219,0.000314821,1.73074
skill_home[245],-0.515619,0.464221,1.01077,-2.07569,-0.582115,1.187,4.74081,0.000310151,1.76083
skill_home[246],-0.144843,0.464617,0.998854,-1.67339,-0.216941,1.54243,4.62183,0.000302367,1.80996
skill_home[247],-0.146172,0.467298,1.04129,-1.77005,-0.207513,1.60706,4.96544,0.000324847,1.67794
skill_home[248],0.151536,0.466453,0.99948,-1.3867,0.082452,1.83424,4.59126,0.000300367,1.82493
skill_home[249],0.15371,0.467044,1.01839,-1.42023,0.0875242,1.87875,4.7546,0.000311054,1.75426
skill_home[250],-0.147439,0.466894,1.01391,-1.70961,-0.211003,1.54952,4.71589,0.000308521,1.76672
skill_home[251],0.0491737,0.46476,1.00305,-1.48697,-0.0148422,1.74074,4.65787,0.000304725,1.80206
skill_home[252],0.0457563,0.465927,1.02348,-1.53514,-0.0186217,1.77524,4.82525,0.000315675,1.72525
skill_home[253],0.0432572,0.467131,1.02667,-1.54699,-0.0176092,1.76328,4.83038,0.000316011,1.72338
skill_home[254],0.150981,0.466455,1.0181,-1.41454,0.0873321,1.87175,4.76385,0.000311658,1.75149
skill_home[255],0.221898,0.466637,1.01201,-1.33707,0.152666,1.92863,4.70342,0.000307705,1.77337
skill_home[256],0.273975,0.4663,1.00881,-1.27107,0.205918,1.96426,4.68043,0.000306201,1.7886
skill_home[257],0.221773,0.464972,0.995325,-1.29672,0.145256,1.8981,4.58223,0.000299777,1.83319
skill_home[258],-0.263523,0.46503,1.00485,-1.80858,-0.327976,1.43958,4.66922,0.000305468,1.78931
skill_home[259],-0.443735,0.466088,1.01571,-2.01304,-0.506283,1.27316,4.74901,0.000310687,1.75443
skill_home[260],-0.0306678,0.464915,1.00426,-1.57948,-0.100914,1.65793,4.66603,0.000305259,1.79273
skill_home[261],-0.337417,0.465136,0.999777,-1.87642,-0.408308,1.34264,4.62005,0.000302251,1.8097
skill_home[262],0.0444466,0.467291,1.02387,-1.5387,-0.0170442,1.76391,4.80077,0.000314074,1.73186
skill_home[263],0.04374,0.466382,1.02415,-1.54356,-0.0188234,1.76648,4.82215,0.000315473,1.72751
skill_home[264],0.15111,0.466532,1.01741,-1.42243,0.0885672,1.86525,4.75586,0.000311136,1.7553
skill_home[265],0.425388,0.465085,1.00097,-1.11718,0.349535,2.11168,4.63205,0.000303036,1.8076
skill_home[266],-0.0337004,0.465015,1.00552,-1.5841,-0.098429,1.6578,4.67572,0.000305893,1.78874
skill_home[267],0.220114,0.466762,1.01242,-1.33667,0.156297,1.92797,4.70466,0.000307786,1.77437
skill_home[268],0.15145,0.46581,1.01571,-1.41624,0.0848369,1.85781,4.75473,0.000311062,1.75253
skill_home[269],0.221484,0.465559,1.01069,-1.33902,0.159684,1.92212,4.71294,0.000308328,1.77473
skill_home[270],-0.51649,0.466779,1.01263,-2.0802,-0.580107,1.18446,4.7063,0.000307893,1.77334
skill_home[271],-0.337328,0.46479,1.02201,-1.91521,-0.403322,1.38053,4.83502,0.000316314,1.72337
skill_home[272],0.150328,0.466808,1.0148,-1.40892,0.0867602,1.85391,4.72595,0.000309179,1.76546
skill_home[273],-0.145092,0.46774,1.0416,-1.77,-0.198094,1.60924,4.95899,0.000324425,1.68041
skill_home[274],-0.0860949,0.464833,0.990315,-1.6003,-0.158781,1.58168,4.53892,0.000296943,1.85039
skill_home[275],0.376766,0.464068,0.99989,-1.16052,0.307414,2.05358,4.64238,0.000303712,1.80389
skill_home[276],-0.0298793,0.465561,1.00699,-1.57081,-0.101824,1.67468,4.67842,0.000306069,1.78771
skill_home[277],-0.148404,0.468163,1.04156,-1.76204,-0.210133,1.60678,4.94965,0.000323814,1.68466
skill_home[278],0.152508,0.466834,1.01582,-1.4166,0.0902579,1.8644,4.7349,0.000309765,1.76358
skill_home[279],-0.0661315,0.466108,0.998181,-1.59861,-0.136869,1.61199,4.58613,0.000300032,1.82904
skill_home[280],0.151644,0.466275,1.01378,-1.41317,0.0854092,1.84488,4.7272,0.000309261,1.76238
skill_home[281],-0.514898,0.465806,1.00992,-2.07958,-0.58265,1.18623,4.70074,0.00030753,1.77622
skill_home[282],-0.146776,0.467465,1.04155,-1.76391,-0.202256,1.61189,4.96436,0.000324776,1.67999
skill_home[283],-0.515327,0.465756,1.0111,-2.07354,-0.586518,1.19363,4.71271,0.000308313,1.77045
skill_home[284],-0.143859,0.46594,1.03806,-1.75355,-0.202662,1.60199,4.96348,0.000324719,1.67882
skill_home[285],0.0462618,0.467293,1.02624,-1.54125,-0.0151287,1.76701,4.823,0.000315528,1.73
skill_home[286],0.221213,0.467244,1.01375,-1.34175,0.156186,1.9388,4.70736,0.000307963,1.77663
skill_home[287],-0.227296,0.466453,0.999903,-1.76446,-0.29918,1.46064,4.59516,0.000300623,1.82456
skill_home[288],0.106362,0.465853,1.001,-1.42858,0.034768,1.78781,4.61709,0.000302057,1.81717
skill_home[289],0.0429926,0.466952,1.02536,-1.54645,-0.0188743,1.76456,4.82178,0.000315449,1.72758
skill_home[290],0.148656,0.466866,1.0167,-1.42098,0.0780285,1.86453,4.74246,0.000310259,1.75552
skill_home[291],0.149317,0.466016,0.999831,-1.38815,0.0813979,1.82493,4.60311,0.000301143,1.81804
skill_home[292],-0.441649,0.465617,1.01728,-2.00888,-0.509459,1.27801,4.77337,0.000312281,1.75106
skill_home[293],-0.568027,0.465147,1.00797,-2.1255,-0.641323,1.13509,4.69588,0.000307212,1.78065
skill_home[294],0.224498,0.465712,1.01292,-1.33604,0.160087,1.93746,4.7306,0.000309483,1.76861
skill_home[295],-0.398147,0.465308,1.0001,-1.93512,-0.462991,1.2828,4.61959,0.000302221,1.80983
skill_home[296],0.274483,0.465226,1.00843,-1.28318,0.204983,1.97297,4.69859,0.000307389,1.78315
skill_home[297],-0.6061,0.464501,1.00496,-2.15217,-0.677436,1.07772,4.68087,0.00030623,1.78939
skill_home[298],-0.144894,0.467619,1.04119,-1.76541,-0.204056,1.61251,4.95768,0.000324339,1.68088
skill_home[299],0.399786,0.466894,1.00441,-1.14199,0.325726,2.09512,4.62791,0.000302765,1.80971
skill_home[300],-0.336709,0.468186,1.02826,-1.92882,-0.398665,1.38706,4.82352,0.000315562,1.72182
skill_home[301],-0.445559,0.465437,0.998106,-1.97066,-0.517843,1.23192,4.59867,0.000300852,1.82322
skill_home[302],0.0446211,0.466906,1.02679,-1.55064,-0.0200884,1.76994,4.83617,0.00031639,1.72485
skill_home[303],-0.034441,0.464745,1.00458,-1.58634,-0.102254,1.6571,4.67244,0.000305678,1.78794
skill_home[304],0.151102,0.4663,1.01608,-1.40838,0.0829874,1.86145,4.74814,0.000310631,1.75771
skill_home[305],-0.567432,0.466561,1.01153,-2.12698,-0.62918,1.14783,4.70044,0.00030751,1.77423
skill_home[306],0.274555,0.466604,1.00876,-1.27517,0.212505,1.97299,4.67388,0.000305773,1.78775
skill_home[307],0.220389,0.466207,1.01256,-1.3433,0.152885,1.92686,4.71721,0.000308607,1.76949
skill_home[308],0.0435144,0.466713,1.02501,-1.54536,-0.0255584,1.7749,4.82342,0.000315556,1.72605
skill_home[309],-0.0297147,0.464615,1.00566,-1.57921,-0.0971588,1.66923,4.68503,0.000306502,1.78491
skill_home[310],-0.447124,0.466867,1.01715,-2.0204,-0.509388,1.27285,4.74664,0.000310533,1.75374
skill_home[311],-0.224921,0.466174,0.997327,-1.74898,-0.305045,1.45502,4.57698,0.000299433,1.83471
skill_home[312],-0.147124,0.466439,1.01351,-1.71541,-0.208501,1.56934,4.72136,0.000308879,1.7673
skill_home[313],0.0431607,0.465601,1.02298,-1.54248,-0.0147251,1.75493,4.82729,0.000315809,1.72518
skill_home[314],0.043887,0.466685,1.02492,-1.54613,-0.0229719,1.77115,4.82314,0.000315537,1.72871
skill_home[315],-0.264171,0.465994,1.00795,-1.81687,-0.326196,1.43659,4.67865,0.000306084,1.79029
skill_home[316],-0.443421,0.466137,1.01788,-2.01321,-0.50597,1.27,4.76831,0.00031195,1.75091
skill_home[317],0.107766,0.464319,0.996773,-1.42531,0.0418694,1.78359,4.60849,0.000301495,1.81879
skill_home[318],-0.146997,0.466353,1.01283,-1.71027,-0.210973,1.55285,4.71681,0.000308581,1.77139
skill_home[319],-0.144346,0.464939,1.0003,-1.68691,-0.212679,1.53647,4.62875,0.00030282,1.8074
skill_home[320],-0.260319,0.465812,1.0069,-1.80889,-0.3256,1.442,4.67253,0.000305684,1.79193
skill_home[321],0.152361,0.467255,1.01769,-1.41992,0.0863846,1.86619,4.7438,0.000310347,1.7562
skill_home[322],-0.147057,0.467872,1.04318,-1.76972,-0.199575,1.60277,4.97124,0.000325226,1.67553
skill_home[323],-0.033317,0.465345,1.00487,-1.57613,-0.102971,1.65604,4.66306,0.000305065,1.79416
skill_home[324],0.312528,0.465405,1.00645,-1.23509,0.241184,2.01735,4.67656,0.000305948,1.78801
skill_home[325],-0.264509,0.466352,1.00603,-1.81437,-0.329722,1.43004,4.65369,0.000304451,1.79622
skill_home[326],0.22253,0.465986,1.01127,-1.33397,0.156253,1.93481,4.70967,0.000308114,1.77301
skill_home[327],0.154106,0.466194,0.999108,-1.38585,0.0869526,1.83433,4.59295,0.000300478,1.82364
skill_home[328],-0.335691,0.46818,1.02763,-1.93073,-0.4011,1.39305,4.8178,0.000315188,1.72701
skill_home[329],0.0456297,0.467943,1.02843,-1.54058,-0.0158551,1.7798,4.83016,0.000315997,1.72577
skill_home[330],-0.147666,0.465096,1.01162,-1.71001,-0.210849,1.5516,4.73099,0.000309509,1.7651
skill_home[331],-0.342465,0.465914,1.00362,-1.89507,-0.413255,1.35016,4.64011,0.000303563,1.80158
skill_home[332],0.221561,0.466404,1.0116,-1.32752,0.151415,1.92957,4.70431,0.000307763,1.77828
skill_home[333],-0.144274,0.465776,1.04003,-1.76675,-0.196169,1.60592,4.98578,0.000326178,1.6712
skill_home[334],-0.444562,0.467165,1.0168,-2.01402,-0.514396,1.26752,4.73729,0.000309921,1.75783
skill_home[335],0.37693,0.466017,1.00457,-1.15996,0.302368,2.06859,4.64687,0.000304006,1.80275
skill_home[336],-0.143956,0.46836,1.04343,-1.7714,-0.209326,1.6109,4.96322,0.000324702,1.68013
skill_home[337],0.347225,0.467008,1.00687,-1.1952,0.278664,2.04941,4.64836,0.000304103,1.79922
skill_home[338],-0.339859,0.465234,1.02295,-1.92714,-0.403239,1.37873,4.83462,0.000316288,1.72134
skill_home[339],-0.147866,0.466609,1.01262,-1.72172,-0.218109,1.56097,4.70961,0.00030811,1.76951
skill_home[340],-0.142737,0.467655,1.01587,-1.70506,-0.210703,1.57036,4.71877,0.000308709,1.76808
skill_home[341],-0.149079,0.465473,0.999835,-1.6809,-0.223575,1.54039,4.61389,0.000301848,1.81331
skill_home[342],0.273121,0.46633,1.00928,-1.28282,0.204084,1.9774,4.68423,0.00030645,1.78406
skill_home[343],-0.0327861,0.466422,1.00788,-1.5823,-0.0987695,1.66811,4.66935,0.000305476,1.79075
skill_home[344],0.273261,0.465954,1.00647,-1.2758,0.207788,1.96592,4.66571,0.000305238,1.79067
skill_home[345],-0.0655237,0.464632,0.996566,-1.59269,-0.138836,1.61027,4.60038,0.000300964,1.82623
skill_home[346],0.0477323,0.466146,1.00223,-1.49229,-0.0222387,1.7352,4.62265,0.000302421,1.80738
skill_home[347],-0.228621,0.465275,0.997732,-1.76668,-0.297914,1.44821,4.59842,0.000300836,1.82119
skill_home[348],0.0436651,0.466383,1.0226,-1.54003,-0.0199902,1.75727,4.80756,0.000314518,1.73355
skill_home[349],-0.567279,0.465832,1.00858,-2.11869,-0.637606,1.13243,4.68777,0.000306681,1.78154
skill_home[350],-0.337548,0.465754,1.02291,-1.91896,-0.400582,1.38818,4.82346,0.000315558,1.72725
skill_home[351],-0.0649501,0.464931,0.996583,-1.59584,-0.137027,1.61166,4.59463,0.000300588,1.82575
skill_home[352],-0.0321133,0.465168,1.00485,-1.58756,-0.0980932,1.65906,4.66637,0.000305281,1.78769
skill_home[353],-0.340694,0.464473,1.00167,-1.87926,-0.404872,1.34494,4.6508,0.000304263,1.8012
skill_home[354],-0.148689,0.466362,1.0407,-1.77838,-0.206865,1.59397,4.97974,0.000325783,1.6759
skill_home[355],0.150919,0.466246,1.01618,-1.41535,0.0886792,1.85941,4.75021,0.000310766,1.75304
skill_home[356],0.273201,0.466312,1.00868,-1.27776,0.206494,1.97554,4.67905,0.000306111,1.78658
skill_home[357],0.0466452,0.465433,1.00146,-1.49292,-0.0244909,1.73389,4.62966,0.000302879,1.80912
skill_home[358],0.0436726,0.465302,1.0244,-1.53865,-0.0158186,1.77194,4.84694,0.000317095,1.7229
skill_home[359],-0.147448,0.466067,1.01342,-1.7132,-0.215303,1.56079,4.72804,0.000309316,1.7685
skill_home[360],0.0489419,0.465131,1.00244,-1.49091,-0.0211323,1.74045,4.64478,0.000303869,1.80243
skill_home[361],0.106949,0.466373,1.00112,-1.43006,0.0370578,1.78963,4.60795,0.00030146,1.82187
skill_home[362],-0.147966,0.464886,0.998568,-1.68684,-0.218116,1.52775,4.61384,0.000301845,1.81604
skill_home[363],-0.442907,0.466632,1.01647,-2.00982,-0.512514,1.27095,4.74502,0.000310426,1.75557
skill_home[364],-0.0307865,0.46585,1.00564,-1.5781,-0.0966523,1.65986,4.66006,0.000304869,1.79585
skill_home[365],0.0455414,0.466409,1.0255,-1.54144,-0.0162955,1.77549,4.83432,0.000316269,1.72445
skill_home[366],-0.263954,0.465591,1.00689,-1.81455,-0.333381,1.43863,4.67688,0.000305969,1.79382
skill_home[367],-0.146667,0.468899,1.04341,-1.7676,-0.20745,1.60504,4.95163,0.000323943,1.68073
skill_home[368],-0.338195,0.465816,1.0224,-1.9262,-0.396344,1.37654,4.81743,0.000315164,1.72976
skill_home[369],-0.443912,0.465213,1.01527,-2.01864,-0.509191,1.26143,4.76279,0.000311589,1.75165
skill_home[370],0.044216,0.46526,1.02323,-1.53411,-0.0181156,1.76771,4.83673,0.000316427,1.7224
skill_home[371],-0.146777,0.465533,1.00038,-1.67704,-0.215682,1.54246,4.61777,0.000302102,1.81307
skill_home[372],-0.342289,0.464716,1.00178,-1.8883,-0.4127,1.33851,4.64699,0.000304013,1.80145
skill_home[373],-0.287982,0.464171,0.993008,-1.80915,-0.363357,1.37667,4.57667,0.000299413,1.83582
skill_home[374],0.35212,0.466273,1.00547,-1.19679,0.285052,2.0414,4.65006,0.000304214,1.7972
skill_home[375],0.314768,0.46592,1.00633,-1.22832,0.245674,2.01416,4.6651,0.000305198,1.78879
skill_home[376],0.152453,0.466664,1.01565,-1.42065,0.087968,1.86632,4.73676,0.000309886,1.76044
skill_home[377],0.150531,0.465814,1.01394,-1.41433,0.0885703,1.85667,4.73805,0.000309971,1.76501
skill_home[378],0.0455385,0.466905,1.02759,-1.54606,-0.0194523,1.77392,4.84378,0.000316888,1.72066
skill_home[379],0.0448855,0.466064,1.02271,-1.52723,-0.0214656,1.76185,4.81523,0.00031502,1.73217
skill_home[380],-0.444522,0.466122,1.01686,-2.01487,-0.509928,1.26393,4.7591,0.000311347,1.75272
skill_home[381],0.378862,0.465155,1.00435,-1.1582,0.308813,2.07066,4.66201,0.000304996,1.79543
skill_home[382],0.0461514,0.466032,1.02492,-1.55332,-0.0146773,1.77417,4.83672,0.000316426,1.72398
skill_home[383],-0.147089,0.467335,1.01524,-1.71072,-0.215462,1.56619,4.71935,0.000308747,1.76736
skill_home[384],0.105763,0.464232,0.998077,-1.4228,0.0384223,1.79101,4.6223,0.000302398,1.81216
